doc_id,q_id,is_confusing,question,LLM_r,response,confusion
business_5.txt,1,no,How many SUVs will Mitsubishi be supplying to Peugeot?,gpt-3.5,"Mitsubishi will be supplying Peugeot with 30,000 sports utility vehicles (SUV).",none
business_5.txt,1,yes,How many trucks will Mitsubishi be supplying to Peugeot?,gpt-3.5,"Mitsubishi will be supplying 30,000 sports utility vehicles (SUV) to Peugeot.","Yes

False assumption: The document mentions that Mitsubishi Motors will be supplying Peugeot with sports utility vehicles (SUVs), not trucks."
business_5.txt,2,no,When do Mitsubishi and Peugeot expect to seal a final agreement?,gpt-3.5,Mitsubishi and Peugeot expect to seal a final agreement by Spring 2005.,none
business_5.txt,2,yes,When do Mitsubishi and Peugeot expect to break the final agreement?,gpt-3.5,Mitsubishi and Peugeot expect to seal a final agreement by Spring 2005.,none
business_5.txt,3,no,Where will the SUVs be built and using what engines?,gpt-3.5,The SUVs will be built in Japan using Peugeot's diesel engines.,none
business_5.txt,3,yes,Where will the SUVs be dismantled and using what technology?,gpt-3.5,The SUVs will be built in Japan using Peugeot's diesel engines.,none
business_5.txt,4,no,Why has Mitsubishi been experiencing poor sales and profit warnings?,gpt-3.5,"Mitsubishi has been experiencing poor sales and profit warnings due to falling sales, systematic hiding of records of faults and secretly repairing vehicles, as well as the revelation of these actions causing a significant decline in sales.",none
business_5.txt,4,yes,Why has Mitsubishi been experiencing strong sales and profit increases?,gpt-3.5,"Mitsubishi has been experiencing strong sales and profit increases because they struck a deal to supply French car maker Peugeot with 30,000 sports utility vehicles (SUV), which will be built in Japan using Peugeot's diesel engines and sold mainly in the European market. This deal has helped Mitsubishi utilize some of its underused production capacity and boost its sales.","Yes

False assumption: The document clearly states that Mitsubishi has been struggling with falling sales, profit warnings, and financial troubles."
business_5.txt,5,no,How much has Mitsubishi's sales decreased in the past year?,gpt-3.5,Mitsubishi's sales have slid 41% in the past year.,none
business_5.txt,5,yes,How much has Mitsubishi's sales increased in the past year?,gpt-3.5,Mitsubishi's sales have actually decreased by 41% in the past year.,"Yes

False assumption: The question assumes that Mitsubishi's sales have increased in the past year, which is not mentioned in the document. In fact, the document states that Mitsubishi's sales have slid 41% in the past year."
business_5.txt,6,no,How much financial backing is Mitsubishi seeking?,gpt-3.5,Mitsubishi Motors is seeking 540bn yen ($5.2bn; 2.77bn pounds) in fresh financial backing.,none
business_5.txt,6,yes,How much financial backing is Mitsubishi not seeking?,gpt-3.5,Mitsubishi is not seeking 540bn yen in financial backing.,"Yes

False assumption: Mitsubishi is not seeking any financial backing."
business_5.txt,7,no,Who is Mitsubishi's largest shareholder and what was their decision in April 2004?,gpt-3.5,"Mitsubishi's largest shareholder is US-German carmaker DaimlerChrysler, and their decision in April 2004 was not to pump in any more money into Mitsubishi Motors.",none
business_5.txt,7,yes,Who is Mitsubishi's newest chief executive and what was their decision in April 2004?,gpt-3.5,"Mitsubishi's newest chief executive is Takashi Nishioka, and their decision in April 2004 was to celebrate the deal with Peugeot after three top bosses stood down to shoulder responsibility for the firm's troubles.","Yes

False assumption: The question assumes that Mitsubishi's newest chief executive was in charge during the decision made in April 2004."
business_5.txt,8,no,Who is Mitsubishi's newly-appointed chief executive?,gpt-3.5,Takashi Nishioka,none
business_5.txt,8,yes,Who is Mitsubishi's recently-appointed chief executive?,gpt-3.5,Takashi Nishioka,none
business_5.txt,9,no,What is Mitsubishi's forecasted net loss for the financial year to March 2005?,gpt-3.5,Mitsubishi's forecasted net loss for the financial year to March 2005 is 472bn yen.,none
